Name, Didn't do, Added, Processed, Pushed
Adafruit_CircuitPython_74HC595,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_74HC595
Adafruit_CircuitPython_AdafruitIO,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_AdafruitIO
Adafruit_CircuitPython_ADS1x15,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_ADS1x15
Adafruit_CircuitPython_ADT7410,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_ADT7410
Adafruit_CircuitPython_ADXL34x,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_ADXL34x
Adafruit_CircuitPython_AM2320,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_AM2320
Adafruit_CircuitPython_AMG88xx,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_AMG88xx
Adafruit_CircuitPython_APDS9960,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_APDS9960
Adafruit_CircuitPython_AS726x,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_AS726x
Adafruit_CircuitPython_ATECC,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_ATECC
Adafruit_CircuitPython_AVRprog,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_AVRprog
Adafruit_CircuitPython_AWS_IOT,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_AWS_IOT
Adafruit_CircuitPython_AzureIoT,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_AzureIoT
Adafruit_CircuitPython_BD3491FS,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_BD3491FS
Adafruit_CircuitPython_binascii,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_binascii
Adafruit_CircuitPython_Bitmap_Font,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Bitmap_Font
Adafruit_CircuitPython_BitmapSaver,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_BitmapSaver
Adafruit_CircuitPython_BLE,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_BLE
Adafruit_CircuitPython_BluefruitConnect,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_BluefruitConnect
Adafruit_CircuitPython_BluefruitSPI,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_BluefruitSPI
Adafruit_CircuitPython_BME280,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_BME280
Adafruit_CircuitPython_BME680,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_BME680
Adafruit_CircuitPython_BMP280,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_BMP280
Adafruit_CircuitPython_BMP3XX,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_BMP3XX
Adafruit_CircuitPython_BNO055,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_BNO055
Adafruit_CircuitPython_BoardTest,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_BoardTest
Adafruit_CircuitPython_BusDevice,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_BusDevice
Adafruit_CircuitPython_CAP1188,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_CAP1188
Adafruit_CircuitPython_CCS811,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_CCS811
Adafruit_CircuitPython_CharLCD,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_CharLCD
Adafruit_CircuitPython_CircuitPlayground,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_CircuitPlayground
Adafruit_CircuitPython_Crickit,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Crickit
Adafruit_CircuitPython_CursorControl,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_CursorControl
Adafruit_CircuitPython_Debouncer,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Debouncer
Adafruit_CircuitPython_DHT,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_DHT
Adafruit_CircuitPython_Display_Button,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Display_Button
Adafruit_CircuitPython_DisplayIO_SSD1305,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_DisplayIO_SSD1305
Adafruit_CircuitPython_DisplayIO_SSD1306,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_DisplayIO_SSD1306
Adafruit_CircuitPython_Display_Shapes,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Display_Shapes
Adafruit_CircuitPython_Display_Text,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Display_Text
Adafruit_CircuitPython_DotStar,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_DotStar
Adafruit_CircuitPython_DRV2605,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_DRV2605
Adafruit_CircuitPython_DS1307,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_DS1307
Adafruit_CircuitPython_DS18X20,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_DS18X20
Adafruit_CircuitPython_DS2413,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_DS2413
Adafruit_CircuitPython_DS3231,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_DS3231
Adafruit_CircuitPython_DS3502,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_DS3502
Adafruit_CircuitPython_DymoScale,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_DymoScale
Adafruit_CircuitPython_EPD,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_EPD
Adafruit_CircuitPython_ESP32SPI,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_ESP32SPI
Adafruit_CircuitPython_ESP_ATcontrol,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_ESP_ATcontrol
Adafruit_CircuitPython_FancyLED,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_FancyLED
Adafruit_CircuitPython_FeatherWing,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_FeatherWing
Adafruit_CircuitPython_Fingerprint,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Fingerprint
Adafruit_CircuitPython_FocalTouch,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_FocalTouch
Adafruit_CircuitPython_FRAM,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_FRAM
